,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
1,115,114.158,-3.013,114.158,552,705,176.987,0,114.158,First,,,,,,,,,,,
2,46,45.398,-97.595,45.398,606,732,82.405,0,45.398,First,,,,,,,,,,,
3,80,79.202,-24.624,79.202,570,687,155.376,0,79.202,First,,,,,,,,,,,
4,94,93.048,-159.228,93.048,555,720,20.772,3.55E-15,93.048,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,116,114.63,6.009,114.63,498,627,6.009,0,114.63,Second,,,,,,,,,,,
2,32,31.321,-73.301,31.321,543,603,106.699,0,31.321,Second,,,,,,,,,,,
3,98,96.747,-7.125,96.747,507,609,172.875,0,96.747,Second,,,,,,,,,,,
4,93,92.027,-160.974,92.027,507,633,19.026,0,92.027,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,101,100.13,8.616,100.13,570,309,8.616,0,100.13,Second,,,,,,,,,,,
2,32,31.321,-73.301,31.321,612,285,106.699,0,31.321,Second,,,,,,,,,,,
3,82,81.498,-6.34,81.498,579,297,173.66,0,81.498,Second,,,,,,,,,,,
4,73,72.498,-155.556,72.498,579,315,24.444,0,72.498,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,100,99,0,99,417,459,0,0,99,Second,,,,,,,,,,,
2,25,24,-90,24,471,447,90,0,24,Second,,,,,,,,,,,
3,82,80.777,-15.068,80.777,429,450,164.932,0,80.777,Second,,,,,,,,,,,
4,77,75.954,-170.91,75.954,429,468,9.09,1.78E-15,75.954,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,105,103.576,-10.008,103.576,531,528,169.992,0,103.576,Second,,,,,,,,,,,
2,28,27,-90,27,579,528,90,0,27,Second,,,,,,,,,,,
3,75,74.095,-21.371,74.095,540,525,158.629,0,74.095,Second,,,,,,,,,,,
4,97,96,180,96,531,534,0,0,96,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,112,111.162,3.094,111.162,441,567,3.094,0,111.162,Second,,,,,,,,,,,
2,31,30.15,-84.289,30.15,489,546,95.711,0,30.15,Second,,,,,,,,,,,
3,98,96.747,-7.125,96.747,450,555,172.875,0,96.747,Second,,,,,,,,,,,
4,86,84.694,-157.068,84.694,450,576,22.932,0,84.694,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,83,82.377,-10.491,82.377,357,501,169.509,0,82.377,Second,,,,,,,,,,,
2,24,23.431,-129.806,23.431,396,513,50.194,1.78E-15,23.431,Second,,,,,,,,,,,
3,81,80.498,-26.565,80.498,366,489,153.435,0,80.498,Second,,,,,,,,,,,
4,82,81.056,-177.879,81.056,351,504,2.121,0,81.056,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,117,115.918,-10.437,115.918,432,549,169.563,0,115.918,Second,,,,,,,,,,,
2,34,33.136,-95.194,33.136,498,582,84.806,0,33.136,Second,,,,,,,,,,,
3,103,101.514,-18.97,101.514,447,546,161.03,0,101.514,Second,,,,,,,,,,,
4,103,102.396,-174.958,102.396,438,567,5.042,0,102.396,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.361,15.945,87.361,453,519,15.945,3.55E-15,87.361,Second,,,,,,,,,,,
2,31,29.547,-66.038,29.547,492,492,113.962,0,29.547,Second,,,,,,,,,,,
3,72,70.612,-12.265,70.612,468,498,167.735,0,70.612,Second,,,,,,,,,,,
4,87,85.907,-155.225,85.907,450,525,24.775,0,85.907,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,107,105.683,6.52,105.683,480,597,6.52,1.78E-15,105.683,Second,,,,,,,,,,,
2,35,34.205,-74.745,34.205,531,570,105.255,0,34.205,Second,,,,,,,,,,,
3,86,84.853,-8.13,84.853,498,579,171.87,1.78E-15,84.853,Second,,,,,,,,,,,
4,99,98.087,-156.571,98.087,486,603,23.429,0,98.087,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,65,64.413,-27.759,64.413,339,540,152.241,0,64.413,Second,,,,,,,,,,,
2,23,21.633,-123.69,21.633,366,567,56.31,0,21.633,Second,,,,,,,,,,,
3,61,59.548,-40.914,59.548,345,537,139.086,0,59.548,Second,,,,,,,,,,,
4,58,57.315,173.991,57.315,345,555,173.991,0,57.315,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,91,90.05,-1.909,90.05,360,468,178.091,0,90.05,Second,,,,,,,,,,,
2,19,18,-90,18,408,462,90,0,18,Second,,,,,,,,,,,
3,75,74.216,-14.036,74.216,366,462,165.964,0,74.216,Second,,,,,,,,,,,
4,65,64.133,-169.216,64.133,378,477,10.784,0,64.133,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,95,93.915,26.565,93.915,402,417,26.565,0,93.915,Second,,,,,,,,,,,
2,20,19.209,-51.34,19.209,432,393,128.66,1.78E-15,19.209,Second,,,,,,,,,,,
3,100,98.681,19.537,98.681,393,414,19.537,0,98.681,Second,,,,,,,,,,,
4,76,74.518,-139.899,74.518,411,423,40.101,7.11E-15,74.518,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,95,93.915,26.565,93.915,402,417,26.565,0,93.915,Second,,,,,,,,,,,
2,20,19.209,-51.34,19.209,432,393,128.66,1.78E-15,19.209,Second,,,,,,,,,,,
3,100,98.681,19.537,98.681,393,414,19.537,0,98.681,Second,,,,,,,,,,,
4,76,74.518,-139.899,74.518,411,423,40.101,7.11E-15,74.518,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,91,90.2,-3.814,90.2,492,444,176.186,0,90.2,Second,,,,,,,,,,,
2,25,24,-90,24,540,432,90,0,24,Second,,,,,,,,,,,
3,86,84.853,-171.87,84.853,489,447,8.13,0,84.853,Second,,,,,,,,,,,
4,78,77.13,-13.496,77.13,504,435,166.504,0,77.13,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,112,111.041,-1.548,111.041,387,435,178.452,0,111.041,Second,,,,,,,,,,,
2,25,24.187,-82.875,24.187,441,429,97.125,0,24.187,Second,,,,,,,,,,,
3,81,80.05,-12.995,80.05,402,429,167.005,0,80.05,Second,,,,,,,,,,,
4,80,79.429,-169.114,79.429,402,441,10.886,1.78E-15,79.429,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,76,75.24,-23.499,75.24,360,459,156.501,0,75.24,Second,,,,,,,,,,,
